Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Win_By_Innings,Man_Of_Match
2017-01-13,1,Brisbane,"Brisbane Cricket Ground, Woolloongabba",2016/17,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Australia,,92,,,MS Wade
2017-01-15,2,,Melbourne Cricket Ground,2016/17,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Pakistan,,,6,,Mohammad Hafeez
2017-01-19,3,Perth,Western Australia Cricket Association Ground,2016/17,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,field,Australia,,,7,,SPD Smith
2017-01-22,4,,Sydney Cricket Ground,2016/17,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Australia,,86,,,DA Warner
2017-01-26,5,,Adelaide Oval,2016/17,Pakistan in Australia ODI Series,ODI,50,"Australia, Pakistan",Australia,Pakistan,international,Australia,bat,Australia,,57,,,DA Warner
2016-12-04,1,,Sydney Cricket Ground,2016/17,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,Australia,bat,Australia,,68,,,SPD Smith
2016-12-06,2,Canberra,Manuka Oval,2016/17,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,field,Australia,,116,,,DA Warner
2016-12-09,3,,Melbourne Cricket Ground,2016/17,Chappell-Hadlee Trophy,ODI,50,"Australia, New Zealand",Australia,New Zealand,international,Australia,bat,Australia,,117,,,DA Warner
2016-09-08,1,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",2016,Hong Kong in Scotland ODI Series,ODI,50,"Scotland, Hong Kong",Scotland,Hong Kong,international,Hong Kong,field,,no result,,,,
2016-09-10,2,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",2016,Hong Kong in Scotland ODI Series,ODI,50,"Scotland, Hong Kong",Scotland,Hong Kong,international,Scotland,bat,Scotland,,53,,,
2016-06-11,1,,Harare Sports Club,2016,India in Zimbabwe ODI Series,ODI,50,"Zimbabwe, India",Zimbabwe,India,international,India,field,India,,,9,,KL Rahul
2016-06-13,2,,Harare Sports Club,2016,India in Zimbabwe ODI Series,ODI,50,"Zimbabwe, India",Zimbabwe,India,international,India,field,India,,,8,,YS Chahal
2016-06-15,3,,Harare Sports Club,2016,India in Zimbabwe ODI Series,ODI,50,"Zimbabwe, India",Zimbabwe,India,international,Zimbabwe,bat,India,,,10,,KL Rahul
2016-12-26,1,Christchurch,Hagley Oval,2016/17,Bangladesh in New Zealand ODI Series,ODI,50,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,New Zealand,bat,New Zealand,,77,,,TWM Latham
