Date,Match_Number,City,Venue,Season,Name,Match_Type,Total_Overs,Teams_Participated,Team_1,Team_2,Team_Type,Toss_Winner,Choose_To,Match_Winner,Match_Result,Win_By_Runs,Win_By_Wickets,Win_By_Innings,Man_Of_Match
2017-02-17,1,,Melbourne Cricket Ground,2016/17,Sri Lanka in Australia T20I Series,T20,20,"Australia, Sri Lanka",Australia,Sri Lanka,international,Sri Lanka,field,Sri Lanka,,,5,,DAS Gunaratne
2017-02-19,2,Victoria,"Simonds Stadium, South Geelong",2016/17,Sri Lanka in Australia T20I Series,T20,20,"Australia, Sri Lanka",Australia,Sri Lanka,international,Sri Lanka,field,Sri Lanka,,,2,,DAS Gunaratne
2017-02-22,3,,Adelaide Oval,2016/17,Sri Lanka in Australia T20I Series,T20,20,"Australia, Sri Lanka",Australia,Sri Lanka,international,Sri Lanka,field,Australia,,41,,,A Zampa
2016-09-05,1,Londonderry,"Bready Cricket Club, Magheramason",2016,Hong Kong in Ireland T20I Series,T20,20,"Ireland, Hong Kong",Ireland,Hong Kong,international,Hong Kong,bat,Hong Kong,,40,,,
2016-06-18,1,,Harare Sports Club,2016,India in Zimbabwe T20I Series,T20,20,"Zimbabwe, India",Zimbabwe,India,international,India,field,Zimbabwe,,2,,,E Chigumbura
2016-06-20,2,,Harare Sports Club,2016,India in Zimbabwe T20I Series,T20,20,"Zimbabwe, India",Zimbabwe,India,international,Zimbabwe,bat,India,,,10,,BB Sran
2016-06-22,3,,Harare Sports Club,2016,India in Zimbabwe T20I Series,T20,20,"Zimbabwe, India",Zimbabwe,India,international,Zimbabwe,field,India,,3,,,KM Jadhav
2017-01-03,1,Napier,McLean Park,2016/17,Bangladesh in New Zealand T20I Series,T20,20,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,bat,New Zealand,,,6,,KS Williamson
2017-01-06,2,Mount Maunganui,Bay Oval,2016/17,Bangladesh in New Zealand T20I Series,T20,20,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,field,New Zealand,,47,,,C Munro
2017-01-08,3,Mount Maunganui,Bay Oval,2016/17,Bangladesh in New Zealand T20I Series,T20,20,"New Zealand, Bangladesh",New Zealand,Bangladesh,international,Bangladesh,field,New Zealand,,27,,,CJ Anderson
2017-02-17,,Auckland,Eden Park,2016/17,,T20,20,"New Zealand, South Africa",New Zealand,South Africa,international,New Zealand,field,South Africa,,78,,,Imran Tahir
2017-06-21,1,Southampton,The Rose Bowl,2017,South Africa in England T20I Series,T20,20,"England, South Africa",England,South Africa,international,South Africa,bat,England,,,9,,JM Bairstow
2017-06-23,2,Taunton,County Ground,2017,South Africa in England T20I Series,T20,20,"England, South Africa",England,South Africa,international,England,field,South Africa,,3,,,CH Morris
2017-06-25,3,Cardiff,Sophia Gardens,2017,South Africa in England T20I Series,T20,20,"England, South Africa",England,South Africa,international,South Africa,field,England,,19,,,DJ Malan
2017-09-16,,Chester-le-Street,Riverside Ground,2017,West Indies tour of England,T20,20,"West Indies, England",West Indies,England,international,England,field,West Indies,,21,,,SP Narine
2017-01-26,1,Kanpur,Green Park,2016/17,England in India T20I Series,T20,20,"India, England",India,England,international,England,field,England,,,7,,MM Ali
2017-01-29,2,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",2016/17,England in India T20I Series,T20,20,"India, England",India,England,international,England,field,India,,5,,,JJ Bumrah
2017-02-01,3,Bangalore,M Chinnaswamy Stadium,2016/17,England in India T20I Series,T20,20,"India, England",India,England,international,England,field,India,,75,,,YS Chahal
2016-08-27,1,Lauderhill,Central Broward Regional Park Stadium Turf Ground,2016,West Indies v India T20I Series,T20,20,"India, West Indies",India,West Indies,international,India,field,West Indies,,1,,,E Lewis
2016-08-28,2,Lauderhill,Central Broward Regional Park Stadium Turf Ground,2016,West Indies v India T20I Series,T20,20,"India, West Indies",India,West Indies,international,India,field,,no result,,,,
2017-02-17,1,,Melbourne Cricket Ground,2016/17,New Zealand Women in Australia T20I Series,T20,20,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,field,Australia,,40,,,EJ Villani
2017-02-19,2,Victoria,"Simonds Stadium, South Geelong",2016/17,New Zealand Women in Australia T20I Series,T20,20,"Australia, New Zealand",Australia,New Zealand,international,Australia,field,New Zealand,,8,,,AM Peterson
2017-02-22,3,,Adelaide Oval,2016/17,New Zealand Women in Australia T20I Series,T20,20,"Australia, New Zealand",Australia,New Zealand,international,New Zealand,bat,New Zealand,,47,,,SW Bates
2016-09-27,,Colombo,Sinhalese Sports Club Ground,2016,,T20,20,"Sri Lanka, Australia",Sri Lanka,Australia,international,Australia,field,Australia,,,10,,KM Beams
2016-09-23,1,,Dubai International Cricket Stadium,2016/17,Pakistan v West Indies T20I Series,T20,20,"Pakistan, West Indies",Pakistan,West Indies,international,Pakistan,field,Pakistan,,,9,,Imad Wasim
2016-09-24,2,,Dubai International Cricket Stadium,2016/17,Pakistan v West Indies T20I Series,T20,20,"Pakistan, West Indies",Pakistan,West Indies,international,West Indies,field,Pakistan,,16,,,Sarfraz Ahmed
2016-09-27,3,Abu Dhabi,Sheikh Zayed Stadium,2016/17,Pakistan v West Indies T20I Series,T20,20,"Pakistan, West Indies",Pakistan,West Indies,international,Pakistan,field,Pakistan,,,8,,Imad Wasim
2016-11-21,,Nelson,Saxton Oval,2016/17,,T20,20,"New Zealand, Pakistan",New Zealand,Pakistan,international,New Zealand,bat,New Zealand,,14,,,
2016-12-04,,Bangkok,Asian Institute of Technology Ground,2016/17,Asian Cricket Council Women's Twenty20 Asia Cup,T20,20,"India, Pakistan",India,Pakistan,international,India,bat,India,,17,,,M Raj
